Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-03-02 11:45:35 AM
-1.871300817,-41.65159225,-38.60255814,2.369997501,0.208512798,-0.301333815,-0.06139483,,,
-1.449076176,-42.90826797,-38.20560455,2.46449852,0.360210776,-0.382621825,-0.064506204,,,
-0.932914317,-42.17616272,-40.66960144,2.496210814,0.709685624,-0.303488731,-0.061377804,,,
-1.360874057,-40.93820572,-41.1762619,2.442945004,0.783451259,-0.241533294,-0.059328965,,,
-1.499249697,-39.97812271,-42.20169067,2.328891516,0.718920946,-0.417990953,-0.055184792,,,
-1.013315439,-38.55279541,-44.85565567,2.2387712,0.793865502,-0.500507116,-0.049910567,,,
-1.080674648,-37.01270294,-46.36836243,2.197184324,0.840996385,-0.530077815,-0.04738542,,,
-0.932848513,-36.68273926,-48.55744934,2.210547447,0.620244265,-0.569184363,-0.045524373,,,
-1.179683805,-36.23442078,-50.38198471,2.329694748,0.311612159,-0.504787564,-0.046240631,,,
-1.207534313,-35.94730377,-50.39131546,2.403064489,0.135617405,-0.353931069,-0.047688068,,,
-1.006567836,-35.13230133,-51.16943741,2.28842473,0.163644046,-0.318009526,-0.044722492,,,
-0.98800832,-33.99593735,-51.95636749,2.069452524,0.279860348,-0.278960913,-0.039830585,,,
-1.33417356,-32.5431366,-52.27399445,1.837674856,0.133571595,-0.412427098,-0.035154667,,,
-1.562585831,-31.31720543,-52.82307816,1.628227949,0.052104108,-0.482126802,-0.030824178,,,
-1.537777305,-31.28039742,-53.19727707,1.47175312,0.139608413,-0.417853683,-0.027665948,,,
-1.624456286,-31.32839394,-51.28366089,1.455588818,0.204581365,-0.307309806,-0.028383091,,,
-1.67875278,-30.14558792,-51.28858948,1.312098384,0.17063275,-0.414751649,-0.025582657,,,
-1.459759831,-28.32855415,-55.40320969,1.219045043,0.068309359,-0.407796651,-0.022003148,,,
-1.533158898,-28.71625328,-57.85738373,1.483358026,0.202466875,-0.176833406,-0.02563818,,,
-1.806057096,-28.48428345,-58.95767593,1.669769168,0.244713873,-0.150792211,-0.028321489,,,
-1.505963802,-28.95299721,-58.59338379,1.832418561,0.155032471,-0.29430306,-0.031273472,,,
-1.230284214,-28.32722664,-62.48067474,1.86756742,0.16164808,-0.278968215,-0.029890321,,,
-1.597821355,-27.28463745,-64.81363678,1.937494993,0.31821084,-0.132748887,-0.029893323,,,
-0.934966505,-27.61490059,-64.46369171,2.08059144,0.384179115,-0.117908604,-0.0322754,,,
-0.71628505,-28.27021027,-63.61768723,2.091163158,0.33790642,-0.170796379,-0.032870782,,,
-1.618350267,-27.94660187,-62.64599609,1.939878941,0.134447038,-0.196241274,-0.030965729,,,
-1.622560978,-27.07588959,-63.85555267,1.753363729,0.178625003,-0.180407614,-0.027458281,,,
-1.288290024,-25.51202583,-65.93769836,1.669282794,0.415298969,-0.1139265,-0.025316061,,,
-1.352520943,-25.3237915,-66.427948,1.719998598,0.538057923,-0.121503823,-0.025892695,,,
-1.328182936,-25.58115005,-65.97001648,1.687087655,0.379757792,-0.299792975,-0.025573552,,,
-1.1573807,-24.99087715,-65.92444611,1.57472074,0.24737379,-0.459258407,-0.02388675,,,
-1.00791502,-24.86424637,-66.32129669,1.519570589,0.276174217,-0.477077246,-0.022912257,,,
-1.283995628,-25.36457253,-64.89112091,1.487229109,0.385592878,-0.407100379,-0.022918838,,,
-1.481160879,-24.14775085,-65.02690887,1.37964797,0.22767809,-0.521005452,-0.02121657,,,
-1.453445792,-22.99891472,-66.98959351,1.27440691,0.032384437,-0.654941082,-0.019023953,,,
-1.238060594,-22.46042442,-69.06040955,1.235953927,0.052609514,-0.634404182,-0.017896707,,,
-1.449983001,-22.58517647,-67.70692444,1.185816765,0.276989937,-0.454730392,-0.017513966,,,
-1.667017817,-22.21141243,-66.9197464,1.093565941,0.159450263,-0.538588941,-0.016341454,,,
-1.296677709,-19.80793381,-69.34275818,0.976549685,-0.063346826,-0.712001324,-0.014082937,,,
-1.824131608,-18.70715714,-72.69419861,0.952381372,-0.065870039,-0.600814462,-0.013101202,,,
-1.563096762,-18.91443825,-74.65802002,1.065045834,-0.114023432,-0.514881372,-0.014265659,,,
-1.320253491,-18.87788391,-74.40853119,1.296290517,0.013338326,-0.439777166,-0.017421262,,,
-1.580245852,-19.33567238,-75.42016602,1.379863739,-0.014069255,-0.566196859,-0.018295687,,,
-1.447269797,-18.3705616,-77.76246643,1.366612434,-0.118577607,-0.685734391,-0.017574191,,,
-1.515697002,-17.77100182,-79.14903259,1.390758991,-0.012864592,-0.567276299,-0.017571396,,,
-1.344507694,-17.95799637,-78.61218262,1.463893175,-0.001899376,-0.56557405,-0.018621709,,,
-1.000055194,-19.02856445,-76.27952576,1.430999637,0.01668326,-0.585539639,-0.018759944,,,
-1.564788103,-18.44584656,-77.04071808,1.292275548,-0.105081841,-0.659533262,-0.016773929,,,
-1.412191749,-16.90696716,-78.49598694,1.201334476,-0.256527603,-0.734661937,-0.015304406,,,
-1.58819747,-17.51692009,-77.40229034,1.17310369,-0.023174901,-0.545361042,-0.01515593,,,
-1.508605123,-17.89882278,-75.85582733,1.147218347,-0.048679706,-0.543856382,-0.015123668,,,
-1.661590219,-16.14952469,-78.02846527,1.07975769,-0.134234875,-0.629140794,-0.013837997,,,
-2.059684992,-14.65860271,-80.95533752,0.968590081,-0.214582264,-0.708442688,-0.011964499,,,
-1.648984194,-14.26790905,-82.50263214,0.986121476,-0.211789593,-0.678382516,-0.011952606,,,
-1.765963554,-15.03351498,-82.24136353,1.15575695,-0.030020019,-0.504683316,-0.014053232,,,
-1.850653291,-15.83694172,-81.21128082,1.277690887,-0.151821032,-0.604018509,-0.015732924,,,
-1.494123578,-16.47932434,-81.21604919,1.356782198,-0.20970352,-0.608203828,-0.016705838,,,
-1.519602299,-17.52308846,-80.55922699,1.458622694,-0.10152901,-0.46731019,-0.018106215,,,
-1.520033717,-18.66736031,-79.6346817,1.578128219,-0.178320587,-0.463368654,-0.019817097,,,
-1.555753708,-20.90983582,-77.11429596,1.746707201,-0.049980264,-0.320497513,-0.022650887,,,
-1.559436321,-22.13257027,-75.48787689,1.925417066,-0.052797191,-0.301781416,-0.025506308,,,
-1.3072685,-22.38497734,-76.8787384,2.073407173,-0.148201242,-0.350622743,-0.026969839,,,
-1.672876954,-22.45809746,-78.43462372,2.249261141,0.044473398,-0.169988126,-0.028676891,,,
-1.860535502,-22.81155586,-78.90592957,2.379647017,0.112995841,-0.128371596,-0.030158025,,,
-1.419670343,-23.72183609,-78.59957123,2.468478203,-0.039143499,-0.26542598,-0.031405746,,,
-1.338206768,-24.60294724,-76.56629181,2.570554495,-0.06621775,-0.318980366,-0.033572927,,,
-1.132150412,-25.11532974,-77.80475616,2.682945013,0.051780719,-0.239384249,-0.034483046,,,
-1.358142138,-24.53509903,-80.32551575,2.78096652,0.132778525,-0.186699346,-0.03462121,,,
-1.41104126,-25.26614571,-80.0087204,2.869402409,0.012758913,-0.293378115,-0.035863621,,,
-0.862105191,-28.47080421,-75.07186127,3.034856319,-0.008226763,-0.317372859,-0.040426017,,,
-0.68000102,-29.95546913,-73.6686554,3.27090621,0.053355787,-0.226855218,-0.044400243,,,
-1.121732473,-28.50522804,-79.13605499,3.451343536,0.082386486,-0.18936792,-0.043612782,,,
-1.570796728,-27.89634514,-82.54823303,3.613352537,0.097014256,-0.187575683,-0.043772621,,,
-1.262589216,-31.46153259,-78.16444397,3.838029385,0.153278723,-0.203632995,-0.049101985,,,
-0.357545316,-35.39651108,-71.00624084,4.10375452,0.061762493,-0.23399739,-0.057794279,,,
-0.710123241,-36.00763702,-71.33343506,4.345944881,0.055719275,-0.223388761,-0.060924374,,,
-0.799010813,-33.78959656,-79.92440033,4.503363132,0.107919216,-0.223645732,-0.056345285,,,
-1.314331651,-32.93938828,-83.32688141,4.644037724,0.13063778,-0.230714649,-0.055732768,,,
-1.56044364,-37.64403915,-76.98217773,4.840458393,0.243469432,-0.079398885,-0.06287765,,,
-0.608975172,-41.60619354,-67.96653748,5.02320528,0.322327614,0.015023935,-0.073907035,,,
-0.874889553,-41.71442795,-70.13891602,5.215322495,0.289084494,0.00885007,-0.074357044,,,
-1.424080729,-39.47151184,-79.30059052,5.372340679,0.387335002,0.007256029,-0.067746541,,,
-1.661678195,-39.36918259,-80.77654266,5.51341486,0.447260082,-0.000326307,-0.068255148,,,
-1.256006479,-43.57104874,-72.30755615,5.557296753,0.551592708,-0.070280671,-0.076856376,,,
-0.977480352,-44.9939537,-67.89026642,5.729449749,0.534597814,-0.055039436,-0.084392801,,,
-1.026276588,-43.87640381,-73.76127625,5.876691341,0.420727491,-0.13504003,-0.079671769,,,
-1.324103832,-43.10523987,-79.16529083,5.968935966,0.367054462,-0.174196661,-0.075398396,,,
-1.125689983,-45.22830582,-74.20474243,6.045509815,0.557864189,-0.112215541,-0.081470666,,,
-0.407762319,-48.09045792,-66.92528534,6.079599857,0.570608974,-0.090085335,-0.090841598,,,
-0.973882735,-47.77293015,-68.73049164,6.21160078,0.434460044,-0.078983799,-0.090376202,,,
-1.376289487,-45.10997391,-77.34929657,6.337940216,0.390427262,-0.189320922,-0.081939209,,,
-0.945634067,-44.52762222,-80.9675827,6.44210577,0.482505292,-0.194983542,-0.079564013,,,
-0.695477545,-47.22371292,-75.112854,6.531011105,0.673090875,-0.209925085,-0.086949314,,,
-0.642771065,-48.829216,-70.45526123,6.535462856,0.735565543,-0.256379455,-0.092760466,,,
-0.353171557,-49.69815063,-70.03516388,6.445505142,0.536902308,-0.217116773,-0.092032413,,,
-0.423531294,-50.02449417,-70.00054169,6.439508438,0.186935306,-0.29674536,-0.091992266,,,
-0.622585058,-49.58639908,-69.71741486,6.549041748,0.450159699,-0.257354528,-0.093936956,,,
-0.676207602,-49.53847885,-71.59923553,6.607727051,0.629540443,-0.139052495,-0.092287676,,,
-0.993706048,-48.9402771,-72.07208252,6.62349081,0.385305226,-0.183846787,-0.091900922,,,
-1.06273067,-48.63576126,-73.10430908,6.639070988,0.330879927,-0.242077574,-0.090816411,,,
-0.698550642,-47.99691391,-75.92746735,6.71419096,0.438823611,-0.185706988,-0.088429013,,,
-0.385034263,-48.3493042,-75.49349976,6.75128603,0.439894527,-0.124883674,-0.089428706,,,
-0.403224856,-48.75899887,-73.70321655,6.722703934,0.255489081,-0.166278854,-0.091213169,,,
-0.581763804,-48.43227386,-74.48842621,6.710497856,0.186356455,-0.212688729,-0.090087792,,,
-0.527024627,-47.83883286,-77.46524811,6.763607502,0.363317668,-0.158034518,-0.087311506,,,
-0.400444865,-47.72557449,-77.96588135,6.814223289,0.537093222,-0.120311163,-0.087400067,,,
-0.583836138,-48.56817627,-75.5715332,6.830723286,0.46668613,-0.102429457,-0.090387518,,,
-0.517754495,-49.0500145,-74.03900909,6.812922001,0.242988259,-0.192937016,-0.092018006,,,
-0.218174234,-48.65288162,-75.70267487,6.845717907,0.19845432,-0.250024766,-0.09042901,,,
-0.29446587,-47.87521362,-78.19218445,6.906516552,0.290224433,-0.233891204,-0.088327454,,,
-0.775501668,-47.85409927,-78.45326233,6.943081856,0.171188042,-0.246622771,-0.088499594,,,
-0.871938407,-47.67739868,-78.18409729,6.993850708,0.065086737,-0.297001272,-0.089453622,,,
-0.59635365,-47.28940201,-79.91573334,7.03798151,0.105950668,-0.322114319,-0.088067533,,,
-0.591340005,-46.62875366,-82.98529816,7.097174644,0.150626138,-0.303886622,-0.085523277,,,
-0.497976214,-46.12190247,-85.40448761,7.235318184,0.157126114,-0.276439577,-0.084718244,,,
-0.575931907,-46.89147186,-84.7713089,7.343964577,0.090642944,-0.201058865,-0.086632667,,,
-0.809653819,-48.24593735,-81.57122803,7.23694706,0.235362321,-0.129919961,-0.088719359,,,
-0.622954488,-48.19020844,-80.54309845,7.110393047,0.335915357,-0.150845483,-0.0882806,,,
-0.878945708,-47.70689392,-81.76002502,7.096848488,0.179743215,-0.228801847,-0.086800958,,,
-1.355646491,-47.57627487,-81.49420929,7.107475281,0.059651762,-0.297292173,-0.087214482,,,
-1.555060148,-47.90196609,-80.05788422,7.071234226,0.130662933,-0.305192441,-0.088326519,,,
-1.555758715,-48.41711044,-78.45141602,6.952086926,0.282209426,-0.297374606,-0.088616462,,,
-1.502377748,-47.67976379,-79.46199799,6.932161808,0.32674706,-0.251448661,-0.087238705,,,
-1.277680635,-47.20556259,-79.44824982,6.902747631,0.364381582,-0.221571729,-0.086883571,,,
-1.122747302,-46.63726425,-81.62335205,6.922896862,0.388314366,-0.23504287,-0.08481515,,,
-1.106503963,-45.64531708,-83.85751343,6.994460106,0.493544102,-0.249647364,-0.083408866,,,
-0.873015046,-45.97766113,-84.77438354,7.062439919,0.431427032,-0.299447656,-0.083308656,,,
-0.299590141,-45.98083115,-85.24547577,7.185497284,0.56455785,-0.289974958,-0.084291832,,,
-0.101106927,-45.83300018,-86.65137482,7.24587059,0.472357422,-0.306670159,-0.083620954,,,
-0.171539754,-45.39735413,-88.91792297,7.317026138,0.298269808,-0.341277212,-0.082289665,,,
-0.271196812,-45.34878922,-89.46055603,7.338008881,0.206967771,-0.330939829,-0.082025076,,,
-0.161576614,-46.43580246,-86.12422943,7.209443569,0.040799402,-0.305504709,-0.083709818,,,
-0.498521686,-47.25273895,-81.6040802,7.046566963,0.191754788,-0.252309442,-0.08635067,,,
-0.489465415,-47.16829681,-81.33717346,6.916631699,0.169727683,-0.222357497,-0.085036539,,,
-0.215413317,-46.51689148,-82.60572052,6.869184494,-0.025243219,-0.22843647,-0.083156281,,,
-0.301604658,-46.73476028,-82.3687973,6.853464127,0.005733002,-0.244616628,-0.083204616,,,
-0.391998529,-46.9564476,-80.91836548,6.852110863,0.002736957,-0.276266485,-0.084679304,,,
-0.466343343,-46.78388214,-80.18664551,6.792712212,0.012313529,-0.306693137,-0.084711265,,,
-0.767902613,-46.2282753,-81.65287781,6.76147747,-0.082262598,-0.341402858,-0.082807583,,,
-0.576794624,-45.33429718,-84.45688629,6.815430164,-0.07092274,-0.375097752,-0.080697152,,,
-0.71085161,-45.00309372,-85.61628723,6.859869957,-0.00311807,-0.397368699,-0.080123423,,,
-1.071848273,-45.4797554,-83.82653809,6.8117733,-0.094612673,-0.353323877,-0.081260344,,,
-1.138308644,-45.31443024,-83.68740082,6.780375957,-0.073318467,-0.351854414,-0.081020272,,,
-0.944516778,-44.45095825,-85.85887146,6.884254456,-0.057183627,-0.366430134,-0.08018105,,,
-0.760475755,-43.79450226,-89.04756165,6.991573811,-0.13313134,-0.347973585,-0.078515051,,,
-0.661826909,-43.18992996,-91.6271286,7.035135746,-0.133400157,-0.293139875,-0.076780053,,,
-0.968114138,-43.314991,-91.15155792,7.095729351,-0.297994465,-0.247989252,-0.077845399,,,
-0.926293015,-43.8958168,-89.94239044,7.110966682,-0.396174014,-0.325823754,-0.079061349,,,
-1.145498514,-44.19550705,-88.82369995,7.015744686,-0.167655766,-0.317222387,-0.078985053,,,
-0.949022472,-44.13115311,-88.68664551,6.990097523,0.049546443,-0.284970373,-0.078817927,,,
