Force X (N),Force Y (N),Force Z (N),Torque X (N-m),Torque Y (N-m),Torque Z (N-m),Frequency = 1000,Averaging Level = 16,F/T Serial Number = FT18766,Time Started = 2020-02-27 11:16:52 AM
-0.233310476,-69.17891693,-22.79396248,5.996664047,0.016309846,-0.210137814,,,,
-0.483964384,-69.37940979,-21.24433327,5.92893219,-0.094781429,-0.203369528,,,,
-0.227011204,-69.00762177,-21.09185982,5.829602718,-0.070892081,-0.232700899,,,,
-0.05798715,-68.42917633,-21.6716404,5.778392792,-0.090591669,-0.248137027,,,,
-0.316811323,-68.16235352,-22.50729942,5.776600361,-0.17141515,-0.269284755,,,,
-0.186233684,-67.80186462,-23.02249336,5.780226231,-0.118869871,-0.279924303,,,,
-0.160146445,-67.76659393,-23.0412426,5.76274538,-0.117457084,-0.273900926,,,,
-0.145794347,-67.48712158,-23.29292107,5.750379086,-0.0672663,-0.294410437,,,,
-0.290248245,-67.21131134,-24.68149757,5.742807388,-0.10629756,-0.320103228,,,,
-0.074739642,-67.19828033,-24.51411819,5.773373604,-0.095010266,-0.309011906,,,,
-0.039799962,-67.31269836,-24.37425232,5.768839836,-0.133710057,-0.34370032,,,,
-0.285446495,-67.28061676,-24.09069061,5.770483494,-0.217939973,-0.347401142,,,,
-0.164064556,-67.06397247,-24.89583588,5.781881809,-0.219410017,-0.334504545,,,,
-0.007281315,-66.98809814,-25.49046135,5.7932477,-0.16340071,-0.326967716,,,,
-0.094251372,-67.16945648,-24.61032104,5.80816412,-0.29985866,-0.31566605,,,,
0.022564504,-66.98941803,-25.38147926,5.79158783,-0.223846287,-0.323761314,,,,
-0.307612449,-66.64522552,-25.02296829,5.769910336,-0.283154577,-0.316559166,,,,
-0.281461835,-66.69804382,-25.07821846,5.792613983,-0.339161396,-0.339764297,,,,
0.106407948,-66.71634674,-25.76443863,5.849760532,-0.2125801,-0.343282759,,,,
-0.075513601,-66.85687256,-26.79351044,5.901479721,-0.22859247,-0.291610897,,,,
-0.275013238,-67.45201874,-25.64834785,5.951356888,-0.146690398,-0.282477945,,,,
-0.205309734,-68.19949341,-25.01016998,6.009791851,-0.226074398,-0.319305241,,,,
0.203310072,-68.1998291,-24.88171768,6.031211853,-0.181074008,-0.315106541,,,,
0.195592433,-67.91973877,-25.5060997,5.98558712,-0.173152164,-0.290449649,,,,
-0.13417089,-67.5807724,-25.5045929,5.893423557,-0.211190864,-0.318928808,,,,
-0.226387739,-67.04824829,-25.5695858,5.822176933,-0.219573408,-0.301795572,,,,
-0.062261309,-66.5072937,-26.14748955,5.789479256,-0.202274159,-0.32531181,,,,
-0.20159401,-66.25986481,-27.13312149,5.807848454,-0.261862069,-0.324913651,,,,
-0.10816092,-65.97244263,-27.41761017,5.839076042,-0.246209383,-0.374135733,,,,
-0.008345625,-65.82289886,-28.05971527,5.864556789,-0.281354308,-0.355956733,,,,
-0.018393856,-65.67275238,-28.77650833,5.884620667,-0.24255763,-0.377411962,,,,
-0.325661331,-65.3542099,-29.52410698,5.924527645,-0.303701729,-0.383135736,,,,
-0.249101177,-65.37479401,-30.12000847,5.976394653,-0.400070012,-0.417675078,,,,
-0.022578644,-65.58220673,-30.14547348,6.014125347,-0.264509559,-0.393620104,,,,
-0.231850818,-65.93429565,-29.07006836,6.004676342,-0.234772593,-0.344570696,,,,
-0.253095329,-66.17425537,-28.11629486,5.964348793,-0.206861213,-0.332391053,,,,
